datetime,kitchen_hours,laundry_hours,HVAC_lights_hours,other_hours
2006-12-16,0,6,6,1
2006-12-17,4,23,15,6
2006-12-18,3,18,15,3
2006-12-19,2,23,10,4
2006-12-20,0,20,16,6
2006-12-21,4,19,14,6
2006-12-22,6,13,14,7
2006-12-23,4,18,18,5
2006-12-24,4,19,10,11
2006-12-25,9,15,13,8
2006-12-26,2,19,16,9
2006-12-27,0,13,9,13
2006-12-28,5,15,13,6
2006-12-29,1,19,15,8
2006-12-30,5,20,13,6
2006-12-31,0,14,11,14
2007-01-01,0,14,8,15
2007-01-02,0,14,9,10
2007-01-03,0,13,7,12
2007-01-04,2,20,11,10
2007-01-05,4,15,11,12
2007-01-06,2,15,8,13
2007-01-07,5,19,14,6
2007-01-08,0,17,19,4
2007-01-09,5,17,15,5
2007-01-10,1,22,17,4
2007-01-11,2,18,15,4
2007-01-12,0,18,10,9
2007-01-13,12,19,16,4
2007-01-14,4,20,17,7
2007-01-15,3,17,17,5
2007-01-16,5,20,12,6
2007-01-17,7,19,17,5
2007-01-18,0,17,16,5
2007-01-19,5,18,10,11
2007-01-20,8,22,14,10
2007-01-21,11,20,16,8
2007-01-22,2,20,13,8
2007-01-23,0,21,7,11
2007-01-24,7,16,14,10
2007-01-25,3,13,14,6
2007-01-26,2,14,12,10
2007-01-27,4,20,16,5
2007-01-28,8,21,14,9
2007-01-29,3,12,17,4
2007-01-30,3,20,12,7
2007-01-31,0,21,18,5
2007-02-01,3,14,14,6
2007-02-02,0,13,15,6
2007-02-03,8,19,18,6
2007-02-04,5,18,16,7
2007-02-05,1,20,10,9
2007-02-06,3,17,9,12
2007-02-07,9,17,14,6
2007-02-08,4,15,15,5
2007-02-09,0,14,12,7
2007-02-10,8,20,16,4
2007-02-11,4,17,16,7
2007-02-12,6,14,15,7
2007-02-13,0,15,10,10
2007-02-14,8,19,13,6
2007-02-15,0,13,15,7
2007-02-16,2,13,13,7
2007-02-17,3,17,11,8
2007-02-18,10,19,18,5
2007-02-19,4,17,15,5
2007-02-20,6,17,13,7
2007-02-21,6,22,16,4
2007-02-22,4,16,14,8
2007-02-23,0,18,12,7
2007-02-24,0,14,7,10
2007-02-25,0,14,3,14
2007-02-26,0,13,6,11
2007-02-27,0,13,4,12
2007-02-28,0,13,3,12
2007-03-01,0,14,4,13
2007-03-02,0,14,4,11
2007-03-03,0,12,7,10
2007-03-04,4,18,13,7
2007-03-05,9,23,13,1
2007-03-06,0,20,8,5
2007-03-07,2,17,18,3
2007-03-08,6,23,11,0
2007-03-09,3,14,11,9
2007-03-10,9,18,15,4
2007-03-11,7,18,13,10
2007-03-12,4,17,15,6
2007-03-13,3,19,8,6
2007-03-14,8,18,12,6
2007-03-15,0,19,17,5
2007-03-16,3,17,8,11
2007-03-17,5,15,17,5
2007-03-18,12,21,10,6
2007-03-19,4,18,17,2
2007-03-20,7,16,14,4
2007-03-21,4,20,16,3
2007-03-22,1,17,13,6
2007-03-23,3,15,12,7
2007-03-24,7,19,19,2
2007-03-25,9,19,13,10
2007-03-26,3,14,12,8
2007-03-27,0,18,9,9
2007-03-28,3,20,16,3
2007-03-29,3,18,13,7
2007-03-30,3,14,11,8
2007-03-31,6,21,18,6
2007-04-01,7,17,21,2
2007-04-02,4,16,18,4
2007-04-03,6,15,12,6
2007-04-04,6,12,18,4
2007-04-05,3,16,12,7
2007-04-06,0,19,12,6
2007-04-07,3,21,9,9
2007-04-08,0,16,6,15
2007-04-09,5,16,7,9
2007-04-10,2,17,5,11
2007-04-11,0,16,7,7
2007-04-12,0,16,4,11
2007-04-13,0,16,4,6
2007-04-14,0,16,4,8
2007-04-15,0,18,6,10
2007-04-16,2,20,7,8
2007-04-17,2,21,9,9
2007-04-18,4,19,7,8
2007-04-19,2,20,8,7
2007-04-20,3,21,7,7
2007-04-21,9,19,16,4
2007-04-22,7,19,16,6
2007-04-23,3,17,10,8
2007-04-24,3,18,11,6
2007-04-25,0,18,11,6
2007-04-26,5,18,9,9
2007-04-27,3,15,9,8
2007-04-28,0,1,0,1
2007-04-29,0,0,0,0
2007-04-30,3,8,3,4
2007-05-01,7,20,13,5
2007-05-02,1,20,7,7
2007-05-03,4,21,11,4
2007-05-04,4,16,9,7
2007-05-05,7,18,15,5
2007-05-06,6,19,14,8
2007-05-07,2,19,14,3
2007-05-08,8,19,14,6
2007-05-09,4,19,11,3
2007-05-10,2,16,8,7
2007-05-11,2,15,10,6
2007-05-12,5,16,16,4
2007-05-13,7,19,15,4
2007-05-14,6,20,8,6
2007-05-15,0,18,8,10
2007-05-16,5,17,14,3
2007-05-17,3,18,12,4
2007-05-18,7,20,13,4
2007-05-19,9,20,12,5
2007-05-20,8,22,12,7
2007-05-21,0,18,11,7
2007-05-22,2,19,10,5
2007-05-23,5,21,12,4
2007-05-24,3,20,9,8
2007-05-25,8,21,11,5
2007-05-26,5,21,13,4
2007-05-27,10,21,13,5
2007-05-28,10,16,12,3
2007-05-29,0,21,9,8
2007-05-30,5,20,11,3
2007-05-31,2,18,7,10
2007-06-01,0,19,9,8
2007-06-02,7,19,11,7
2007-06-03,8,21,14,6
2007-06-04,6,19,7,7
2007-06-05,11,14,12,5
2007-06-06,9,15,15,2
2007-06-07,2,17,6,8
2007-06-08,5,21,13,5
2007-06-09,3,23,10,6
2007-06-10,7,21,11,6
2007-06-11,0,20,6,8
2007-06-12,2,21,7,7
2007-06-13,2,22,9,4
2007-06-14,5,22,9,6
2007-06-15,6,23,9,3
2007-06-16,6,21,14,3
